"Slug","Title","Front","Front:alt","Describe","img 1","Image 1","Image 1:alt","img 2","Image 2","Image 2:alt","img 3","Image 3","Image 3:alt","img 4","Image 4","Image 4:alt","img 5","Image 5","Image 5:alt","img 6","Image 6","Image 6:alt","img 7","Image 7","Image 7:alt","img 8","Image 8","Image 8:alt"
"chemagic","Chemagic ","https://framerusercontent.com/images/wnbsZs6rxE7pS1TkUY1OGxxSGHo.png","","<p dir=""auto""><br></p>","true","https://framerusercontent.com/images/HZS4b7QoaV2VLxpoa46SHWQCs.png","","true","https://framerusercontent.com/images/kJblReypaUzNSDOa4Ta0tuH6gTY.png","","true","https://framerusercontent.com/images/ln2Y0Wd05yM8qmqnqOYOLqZfEbs.png","","true","https://framerusercontent.com/images/iFHYTVmaBRgmu9FeuM6jRLgfOg.png","","true","https://framerusercontent.com/images/1UggYwcQ4xttUUGZLL5ql2wZS8.png","","false","","","false","","","false","",""
"gaze-of-kin","Gaze of Kin","https://framerusercontent.com/images/i49jaoILn9pAo0q2fn7NNwTfmQ.png","","","true","https://framerusercontent.com/images/m9hVUcETPc55Uu8WSjnrdZ2Cx1Q.png","","true","https://framerusercontent.com/images/9zAGvVfVWwGVbWonoxKmot6JDl0.png","","true","https://framerusercontent.com/images/YOBLKXlN8nalQMCktUnW9HvORbs.png","","true","https://framerusercontent.com/images/9MnY80bpkDdBc28Gouhe7sxdjR0.png","","true","https://framerusercontent.com/images/HKMapgZKACLv9iDMtZteZ5B7w.png","","true","https://framerusercontent.com/images/o4Uz6sVp7z5UeEH1YNbJZhxV5w.png","","true","https://framerusercontent.com/images/IMJyGBHFwJ3palL028hk9YM.png","","true","https://framerusercontent.com/images/7YRzPVKwfjF8TSZVt66NnMnhjdo.png",""
"situchem-ningbo","SituChem","https://framerusercontent.com/images/E5L9TE0bVDKyB7tz2AcfRrIrhM.png","","<p><br></p>","true","https://framerusercontent.com/images/b8OilLlE4OLpqrBS1ZhNxbDMc.png","","true","https://framerusercontent.com/images/WrPMZwpRJKRSqTPxSMma6XdeJA.png","","true","https://framerusercontent.com/images/wuZiv0OHwEdDlxalqL0OqynaIg.png","","true","https://framerusercontent.com/images/6n6DONKZ6qbN2oM8QAX1X5MxXhU.png","","true","https://framerusercontent.com/images/cpgZWba3cypgRi8S84WgXqoswg.png","","true","https://framerusercontent.com/images/bpLeiStUl8e9TkecFPq3YF44Zwo.png","","false","","","false","",""
"junida-fiber-tech","Junida Fiber Tech","https://framerusercontent.com/images/MVgXMsIOWFFt6XoLy4Kx0AxnLJc.png","","<p><br></p>","true","https://framerusercontent.com/images/qbxoBJZuja7GGyeLJqopFPEiUpc.jpg","","true","https://framerusercontent.com/images/MkjqQXH0rbg2mVQQVRGzlXbh4E.jpg","","true","https://framerusercontent.com/images/YUk9hrhIR644FgOrW9GOAzhwTM.png","","true","https://framerusercontent.com/images/pGwVDEMoch7ajPWImr8bswf4Q.jpg","","true","https://framerusercontent.com/images/vcE2OPdwJDQe9Cf5ED7W2Eb5buk.png","","true","https://framerusercontent.com/images/XJXxKVm7qKuC4uahD1MgaBa8Zk.png","","true","https://framerusercontent.com/images/juhsHcPwPTSJvoEP3gaqtv1PC0.png","","true","https://framerusercontent.com/images/DYVLjDwzhzQfPIQRVr1OqAkTEE.png",""
"chemintech","CheminTech","https://framerusercontent.com/images/QKeRatRIl9lDjh5Je0ZjAv4xyE4.png","","","true","https://framerusercontent.com/images/XWcZT2iPQOdrlU6JzU1p01dyMQ.png","","true","https://framerusercontent.com/images/eCZ9SsomNTNavKlqpdKZUD2NNq4.png","","true","https://framerusercontent.com/images/hNQtFO60HFRMotTXB12OaJ3BRI.png","","false","","","false","","","false","","","false","","","false","",""
"innee-gallery","INNEE Gallery","https://framerusercontent.com/images/cYBYpYihYSbHjIuT42qKwakt16U.gif","","<p><br></p>","true","https://framerusercontent.com/images/6dgjAZIr5Ky7VokCosLn78gvJc.png","","true","https://framerusercontent.com/images/04M06zps4cUFuzrMOVQxt6fgqYI.png","","true","https://framerusercontent.com/images/PLOBxRTkdpBgBsCndFQ4HgFqs.png","","true","https://framerusercontent.com/images/VdsBiVsMRuk9EeB6AydSFlCFo.png","","true","https://framerusercontent.com/images/3Xb8QXHjHCjnDQubTYBY5HrydI.png","","true","https://framerusercontent.com/images/JjcYx4pNhfblwuVvcHZ0pqsg.png","","true","https://framerusercontent.com/images/w86pOY2hEIZSJhKrwfydJDZuYE.png","","true","https://framerusercontent.com/images/09G67V5kvFF6h9p1YPiz4sbaoD4.png",""
"wtattoo","W-Tattoo","https://framerusercontent.com/images/Jj6Kw0cq0caFNSyIT2nB8YofVm0.gif","","<p><br></p><!-- richTextHoistStyles -->","true","https://framerusercontent.com/images/JiHSuFYs82OgnhMsirOQDiAnoM.gif","","true","https://framerusercontent.com/images/b4B4mPhVIb6JowjMy4OyU60D54o.jpg","","true","https://framerusercontent.com/images/eTIHWNqAUzhW0bdewmwMStBnAp0.jpg","","true","https://framerusercontent.com/images/4zrYtZaGlrX7Nsxc72coyYeY.jpg","","true","https://framerusercontent.com/images/BGL8mgjW19KBgg3D6NYfqeoSI.jpg","","true","https://framerusercontent.com/images/w1LisNoT19jw9lZvT0eYUN9ITws.jpg","","true","https://framerusercontent.com/images/wDwWrMNnjzuLdPD5qmKz5fMg48.jpg","","true","https://framerusercontent.com/images/fkTgWxMiXxyKvZ4drFnBd5TkI.gif",""
"dayoff","DayOff","https://framerusercontent.com/images/iOoLAoHfTQEI36nNiedHIGScMQ.gif","","<p><br></p><!-- richTextHoistStyles -->","true","https://framerusercontent.com/images/CFjABUaeIbxnxcdTuuitwol54.jpg","","true","https://framerusercontent.com/images/cEVPSYeUgYdj1sr0v8gAlesFY0.jpg","","true","https://framerusercontent.com/images/dBxQAq4nwshioz2JFbMjSEpmhMU.jpg","","true","https://framerusercontent.com/images/DOGrurSxKZ1eaLQYioq9bDV1Ak.jpg","","true","https://framerusercontent.com/images/3CII6pTzm2IrdMZZe7fCGUGKl8.jpg","","true","https://framerusercontent.com/images/Cm15KyDwp2lSHU4waxQZIweJPIU.jpg","","true","https://framerusercontent.com/images/e5Ha3c4D3C6UcZfdFteYrdoEmuk.jpg","","true","https://framerusercontent.com/images/NStj6ierT7ngYeBjvHvStRqlhs.jpg",""
"owork","Owork Office","https://framerusercontent.com/images/3WrOYkoXNiQlerjCMbCcCmFVAIQ.gif","","<p><br></p><!-- richTextHoistStyles -->","true","https://framerusercontent.com/images/FKB91sXaAMpQFKGR80Yqx97yk.jpg","","true","https://framerusercontent.com/images/pkeOexpLBdqWqWmyXivotzp7y0.jpg","","true","https://framerusercontent.com/images/hDqS2b84zBhGfYN6mY319WqH5w.jpg","","true","https://framerusercontent.com/images/acrx45QMt5HmAAiXy36wMVtG0k.jpg","","true","https://framerusercontent.com/images/d6TJIthw7VzBeVGk8V0ODrVno08.jpg","","true","https://framerusercontent.com/images/GaBRkj2CdFoxHVfeDo0akM4yRI.jpg","","true","https://framerusercontent.com/images/QntEd2wBFxxsBB1coVyucUqc.jpg","","true","https://framerusercontent.com/images/EmlebPXDtorSvoYogxLwLnvxyg.jpg",""
"miaoyin","Miaoyin Temple","https://framerusercontent.com/images/l0a1pr7j7vfj7rntm4E9GznzM.jpg","","<p><br></p><!-- richTextHoistStyles -->","true","https://framerusercontent.com/images/TaeSy5Nn1vOBb49ZsrZy2beXsg.jpg","","true","https://framerusercontent.com/images/024rgaxCpQoPwxCxhrof1n9tCQ.jpg","","true","https://framerusercontent.com/images/frFLShAjJRaNEpWZlxepFwEICo.jpg","","true","https://framerusercontent.com/images/MbTOBdUzlmqXlA8WlfvcBp3l1w.jpg","","true","https://framerusercontent.com/images/sZGOenvh5vvHAxckrHXAr6qooo.jpg","","true","https://framerusercontent.com/images/ToRS3nKZxOMTcmz86hJ94wIBwiw.jpg","","true","https://framerusercontent.com/images/xoENWr2JwCbZdFzsm4AgQPCZrOc.jpg","","true","https://framerusercontent.com/images/Zs4NgNKJLQzLoYHAkQv3iniFYg.jpg",""
